year,month,day,hour,minute,second,Ta,qa,Psfc,U,SW,PPT
2023,3,9,13,45,0,266.5500000000001,0.001985675000000024,72970.95000000001,3.2566150999999923,0.0,0.0
2023,3,9,14,0,0,266.68,0.0020209,72974.8,3.2460746,0.0,0.0
2023,3,9,14,15,0,266.8100000000002,0.0020561000000000476,72978.6,3.2512719250000073,18.601750000025376,0.0
2023,3,9,14,30,0,266.94,0.0020913,72982.4,3.2564692500000003,37.2035,0.0
2023,3,9,14,45,0,267.0699999999998,0.0021264999999999518,72986.2,3.261666574999993,55.80524999997462,0.0
2023,3,9,15,0,0,267.2,0.0021617,72990.0,3.2668639,74.407,0.0
2023,3,9,15,15,0,267.6299999999997,0.00225024999999994,72992.4,3.2328515750000233,101.86499999998126,0.0
2023,3,9,15,30,0,268.0599999999994,0.0023387999999998793,72994.79999999999,3.1988392500000464,129.32299999996255,0.0
2023,3,9,15,45,0,268.4900000000003,0.0024273500000000607,72997.20000000001,3.1648269249999768,156.78100000001874,0.0
2023,3,9,16,0,0,268.92,0.0025159,72999.6,3.1308146,184.239,0.0
2023,3,9,16,15,0,269.3499999999997,0.0026044999999999398,73002.15000000001,3.1017230750000198,244.21849999995908,0.0
2023,3,9,16,30,0,269.7800000000006,0.002693100000000121,73004.70000000001,3.07263154999996,304.19800000008183,0.0
2023,3,9,16,45,0,270.21000000000026,0.0027817000000000605,73007.25,3.04354002499998,364.1775000000409,0.0
2023,3,9,17,0,0,270.64,0.0028703,73009.8,3.0144485,424.157,0.0
2023,3,9,17,15,0,271.07000000000056,0.0029588000000001207,73012.35,2.987493974999963,480.4652500000768,0.0
2023,3,9,17,30,0,271.5,0.0030473,73014.9,2.9605394499999997,536.7735,0.0
2023,3,9,17,45,0,271.92999999999944,0.0031357999999998792,73017.45,2.9335849250000368,593.0817499999232,0.0
2023,3,9,18,0,0,272.36,0.0032243,73020.0,2.9066304,649.39,0.0
2023,3,9,18,15,0,272.35,0.003246449999999985,73003.82500000001,2.912366124999996,678.5204999999802,0.0
2023,3,9,18,30,0,272.34000000000003,0.0032685999999999696,72987.65000000002,2.9181018499999922,707.6509999999603,0.0
2023,3,9,18,45,0,272.33,0.003290750000000015,72971.47499999999,2.923837575000004,736.7815000000198,0.0
2023,3,9,19,0,0,272.32,0.0033129,72955.3,2.9295733,765.912,0.0
2023,3,9,19,15,0,272.3075,0.003335024999999985,72939.12500000001,2.934234924999997,771.4457499999962,0.0
2023,3,9,19,30,0,272.29499999999996,0.00335715000000003,72922.94999999998,2.938896550000006,776.9795000000076,0.0
2023,3,9,19,45,0,272.28249999999997,0.0033792750000000153,72906.775,2.943558175000003,782.5132500000038,0.0
2023,3,9,20,0,0,272.27,0.0034014,72890.6,2.9482198,788.047,0.0
2023,3,9,20,15,0,272.2575,0.0034235750000000302,72874.59999999998,2.9531891000000066,725.3642499999146,0.0
2023,3,9,20,30,0,272.245,0.00344575,72858.6,2.9581584000000003,662.6815,0.0
2023,3,9,20,45,0,272.2325,0.00346792499999997,72842.60000000002,2.9631276999999936,599.9987500000856,0.0
2023,3,9,21,0,0,272.22,0.0034901,72826.6,2.968097,537.316,0.0
2023,3,9,21,15,0,272.21000000000004,0.0035006499999999927,72806.95000000001,2.952648625000011,518.7310000000127,0.0
2023,3,9,21,30,0,272.20000000000005,0.003511199999999985,72787.30000000003,2.9372002500000214,500.14600000002537,0.0
2023,3,9,21,45,0,272.19,0.003521750000000007,72767.65,2.9217518749999893,481.5609999999873,0.0
2023,3,9,22,0,0,272.18,0.0035323,72748.0,2.9063035,462.976,0.0
