year,month,day,hour,minute,second,Ta,qa,Psfc,U,SW,PPT
2021,10,1,0,0,0,281.39,0.001391,68556.1,1.6137534,261.752,0.0
2021,10,1,0,15,0,280.81,0.0013855,68557.225,1.72607905,221.40200000000002,0.0
2021,10,1,0,30,0,280.23,0.0013800000000000002,68558.35,1.8384047,181.05200000000002,0.0
2021,10,1,0,45,0,279.65,0.0013744999999999999,68559.475,1.9507303500000002,140.702,0.0
2021,10,1,1,0,0,279.07,0.001369,68560.6,2.063056,100.352,0.0
2021,10,1,1,15,0,278.4925,0.0013635499999999998,68561.55,2.19340055,75.26400000000001,0.0
2021,10,1,1,30,0,277.91499999999996,0.0013581,68562.5,2.3237451,50.17599999999999,0.0
2021,10,1,1,45,0,277.3375,0.00135265,68563.45,2.45408965,25.08800000000001,0.0
2021,10,1,2,0,0,276.76,0.0013472,68564.4,2.5844342,0.0,0.0
2021,10,1,2,15,0,276.1825,0.0013416500000000002,68565.15,2.724749525,0.0,0.0
2021,10,1,2,30,0,275.605,0.0013361000000000002,68565.9,2.8650648500000004,0.0,0.0
2021,10,1,2,45,0,275.0275,0.00133055,68566.65,3.005380175,0.0,0.0
2021,10,1,3,0,0,274.45,0.001325,68567.4,3.1456955,0.0,0.0
2021,10,1,3,15,0,274.26,0.0013084750000000001,68565.275,2.9372854750000004,0.0,0.0
2021,10,1,3,30,0,274.07,0.00129195,68563.15,2.7288754500000003,0.0,0.0
2021,10,1,3,45,0,273.88,0.0012754250000000002,68561.025,2.520465425,0.0,0.0
2021,10,1,4,0,0,273.69,0.0012589,68558.9,2.3120554,0.0,0.0
2021,10,1,4,15,0,273.50250000000005,0.0012422750000000001,68556.925,2.18772095,0.0,0.0
2021,10,1,4,30,0,273.315,0.00122565,68554.95,2.0633865,0.0,0.0
2021,10,1,4,45,0,273.1275,0.0012090249999999999,68552.975,1.93905205,0.0,0.0
2021,10,1,5,0,0,272.94,0.0011924,68551.0,1.8147176,0.0,0.0
2021,10,1,5,15,0,272.7525,0.0011758749999999998,68548.875,1.8439525250000002,0.0,0.0
2021,10,1,5,30,0,272.565,0.00115935,68546.75,1.87318745,0.0,0.0
2021,10,1,5,45,0,272.3775,0.001142825,68544.625,1.902422375,0.0,0.0
2021,10,1,6,0,0,272.19,0.0011263,68542.5,1.9316573,0.0,0.0
2021,10,1,6,15,0,272.1275,0.0011154,68543.22499999999,1.7367642500000005,0.0,0.0
2021,10,1,6,30,0,272.065,0.0011045,68543.95,1.5418712,0.0,0.0
2021,10,1,6,45,0,272.0025,0.0010936,68544.67499999999,1.3469781499999995,0.0,0.0
2021,10,1,7,0,0,271.94,0.0010827,68545.4,1.1520851,0.0,0.0
2021,10,1,7,15,0,271.875,0.001071725,68546.125,1.0395987224999998,0.0,0.0
2021,10,1,7,30,0,271.81,0.00106075,68546.85,0.9271123449999997,0.0,0.0
2021,10,1,7,45,0,271.745,0.0010497750000000002,68547.575,0.8146259675000002,0.0,0.0
2021,10,1,8,0,0,271.68,0.0010388,68548.3,0.70213959,0.0,0.0
2021,10,1,8,15,0,271.6175,0.0010279500000000001,68549.025,0.8005230175000002,0.0,0.0
2021,10,1,8,30,0,271.555,0.0010171,68549.75,0.8989064449999997,0.0,0.0
2021,10,1,8,45,0,271.4925,0.00100625,68550.47499999999,0.9972898724999999,0.0,0.0
2021,10,1,9,0,0,271.43,0.0009954,68551.2,1.0956733,0.0,0.0
2021,10,1,9,15,0,271.375,0.0009964750000000001,68549.95,1.142155125,0.0,0.0
2021,10,1,9,30,0,271.32,0.00099755,68548.7,1.18863695,0.0,0.0
2021,10,1,9,45,0,271.265,0.000998625,68547.45,1.2351187750000001,0.0,0.0
2021,10,1,10,0,0,271.21,0.0009997,68546.2,1.2816006,0.0,0.0
2021,10,1,10,15,0,271.155,0.0010008500000000002,68544.84999999999,1.3312089,0.0,0.0
2021,10,1,10,30,0,271.1,0.001002,68543.5,1.3808172,0.0,0.0
2021,10,1,10,45,0,271.045,0.00100315,68542.15,1.4304255,0.0,0.0
2021,10,1,11,0,0,270.99,0.0010043,68540.8,1.4800338,0.0,0.0
2021,10,1,11,15,0,270.9375,0.001005375,68539.425,1.53254755,0.0,0.0
2021,10,1,11,30,0,270.885,0.0010064499999999999,68538.05,1.5850613,0.0,0.0
2021,10,1,11,45,0,270.8325,0.001007525,68536.675,1.63757505,0.0,0.0
2021,10,1,12,0,0,270.78,0.0010086,68535.3,1.6900888,0.0,0.0
2021,10,1,12,15,0,271.08,0.0010259,68543.95,1.5370220750000005,0.0,0.0
